id_producto	url	orden	tipo
ECN-001	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-001-1_ojvidj.webp	1	frente
ECN-001	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-001-2_jpehhw.webp	2	posterior
ECN-002	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-002-1_vptal1.webp	1	frente
ECN-003	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-003-1_ziaejk.webp	1	frente
ECN-004	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-004-1_znuzob.webp	1	frente
ECN-004	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-004-2_ykjuii.webp	2	posterior
ECN-005	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-005-1_fgvktx.webp	1	frente
ECN-005	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-005-2_yoxljn.webp	2	posterior
ECN-006	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-006-1_muvc3d.webp	1	frente
ECN-006	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-006-2_ugnojl.webp	2	lateral
ECN-007	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-007-1_sfanhe.webp	1	frente
ECN-007	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-007-2_nqesbf.webp	2	lateral
ECN-008	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-008-1_ksd4sr.webp	1	frente
ECN-009	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585823/ECN-009-1_kyp9rd.webp	1	frente
ECN-010	https://res.cloudinary.com/deaq5dfwt/image/upload/v1789585822/ECN-010-1_p9yxf6.webp	1	frente
